null,Karaoke,Boomdabash & Alessandra Amoroso
null,Mediterranea,Irama
null,Good times,Ghali
null,A un passo dalla luna,Rocco Hunt & Ana Mena
null,Blinding lights,The Weeknd
null,Superclassico,Ernia
null,Hypnotized,Purple Disco Machine & Sophie and the Giants
null,Dance monkey,Tones and I
null,Fai rumore,Diodato
null,blun7 a swishland,tha Supreme
null,Viceversa,Francesco Gabbani
null,Jerusalema,Master KG feat. Nomcebo Zikode
null,Boogieman,Ghali feat. Salmo
null,Breaking me,Topic & A7S
null,Rapide,Mahmood
null,Chega,Gaia Gozzi
null,Mamacita,Black Eyed Peas & Ozuna & J. Rey Soul
null,M'' manc,Shablo & Geolier & Sfera Ebbasta
null,Ti volevo dedicare,Rocco Hunt feat. JAx & BoomDaBash
null,Ringo Starr,Pinguini Tattici Nucleari
null,Tusa,Karol G & Nicki Minaj
null,Non mi basta più,Baby K feat. Chiara Ferragni
null,Fiori di Chernobyl,Mr. Rain
null,Paloma,Fred De Palma feat. Anitta
null,Roses [imanbek remix],Saint Jhn
null,Bando,Anna
null,Una volta ancora,Fred De Palma feat. Ana Mena
null,Ciclone,Takagi & Ketra & Elodie feat. Mariah & Gipsy Kings & Nicolas Reyes & Tonino Baliardo
null,Auto Blu,Shiva & Eiffel 65
null,Bimbi per strada (Children),Fedez & Robert Miles
null,Destri,Gazzelle
null,Chico,Guè Pequeno feat. Rose Villain & Luchè
null,Musica (e il resto scompare),Elettra Lamborghini
null,Savage love (Laxed,Siren beat),Jawsh 685 & Jason Derulo
null,Don''t start now,Dua Lipa
null,Il bacio di Klimt,Emanuele Aloia
null,Per sentirmi vivo,Fasma & GG
null,Head & heart,Joel Corry feat. MNEK
null,Tutto questo sei tu,Ultimo
null,Before you go,Lewis Capaldi
null,Altalene,Slait & Tha Supreme feat. Mara Sattei & Coez
null,Guaranà,Elodie
null,Sono un bravo ragazzo un po'' fuori di testa,Random
null,Bella storia,Fedez
null,Spigoli,Carl Brave & Mara Sattei & tha Supreme
null,Bottiglie privè,Sfera Ebbasta
null,Death bed,Powfu feat. Beabadoobee
null,Ridere,Pinguini Tattici Nucleari
null,Ritmo (Bad boys for life),Black Eyed Peas & J Balvin
null,Dorado,Mahmood & Sfera Ebbasta & Feid
null,Bam Bam Twist,Achille Lauro feat. Gow Tribe
null,Me ne frego,Achille Lauro
null,Andromeda,Elodie
null,16-mar,Achille Lauro feat. Gow Tribe
null,In your eyes,The Weeknd
null,NeonLe ali,Marracash & Elisa
null,Baby,Sfera Ebbasta & J Balvin
null,BRAVI A CADERE: I polmoni,Marracash
null,Tikibombom,Levante
null,Physical,Dua Lipa
null,Non avere paura,Tommaso Paradiso
null,Mood,24kGoldn feat. Iann Dior
null,Watermelon sugar,Harry Styles
null,Autostop,Shade
null,Le feste di Pablo,Cara & Fedez
null,Rain on me,Lady Gaga & Ariana Grande
null,CRUDELIA: I nervi,Marracash
null,Dynamite,BTS
null,Ansia no,Fsk Satellite feat. Taxi B & Sapobully & Greg Willen & chiello_fsk
null,Rockstar,DaBaby feat. Roddy Ricch
null,22-set,Ultimo
null,SUPREME: L''ego,Marracash & tha Supreme & Sfera Ebbasta
null,La mia hit,J-Ax feat. Max Pezzali
null,Fuck 3x,tha Supreme
null,Dove e quando,Benji & Fede
null,Elegante,Drefgold & Sfera Ebbasta
null,Nena,Boro Boro & Geolier & Andry The Hitmaker
null,Roxanne,Arizona Zervas
null,Memories,Maroon 5
null,Un dia (One day),J Balvin & Dua Lipa & Bad Bunny & Tainy
null,All I want for Christmas is you,Mariah Carey
null,Chiasso,Random
null,Testa tra le nuvole, Pt. 2,Alfa & Yanomi
null,Stu core t''apparten,Rocco Hunt
null,Someone you loved,Lewis Capaldi
null,Crepe,Irama
null,Falling,Trevor Daniel
null,La storia infinita,Pinguini Tattici Nucleari
null,Balla per me,Tiziano Ferro & Jovanotti
null,Una voglia assurda,J-AX
null,La isla,Giusy Ferreri & Elettra Lamborghini
null,Vent''anni,Maneskin
null,Ricordami,Tommaso Paradiso
null,Dov''è,Le Vibrazioni
null,Lose control,Meduza & Becky Hill & Goodboys
null,Break my heart,Dua Lipa
null,Te lo prometto,Il Tre
null,Ride it,Regard
null,Let''s love,David Guetta & Sia
null,Cin Cin,Alfa & Yanomi
